molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL4448117,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)[C@@H](C)CC)[C@@H](C)CC)C1CCCCC1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(N)=O)C1CCCCC1,6700.0,intermediate
CHEMBL5078185,CC[C@@H](C)[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)[C@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](N)CC(C)C)C1CCCCC1)[C@H](C)CC)C1CCCCC1)[C@H](C)CC)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(N)=O,1600.0,intermediate
CHEMBL3260567,Cc1cccc(-c2[nH]c(CNc3ccccc3F)nc2-c2ccc3ncnn3c2)n1,12.9,active
CHEMBL5272606,Cc1cc(-c2ccnc3ccc(C(N)=O)cc23)cc(-c2cc3n(n2)CCC3)n1,56.0,active
CHEMBL5280211,CC(C)(C)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CCOCC3)ccn2)ccn1,38.2,active
CHEMBL2364611,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1,56.0,active
CHEMBL5279930,O=c1[nH]cc(-c2cccc(CO)c2)cc1-c1nc2cc(N3CCNCC3)ccc2[nH]1,970.0,active
CHEMBL5288544,CC(=O)Nc1cc(Nc2nc(-c3ccc(F)c(C)n3)nc3[nH]cnc23)ccn1,0.34,active
CHEMBL3704651,CCc1cnn(-c2cccc(C)n2)c1-c1cc2cnccc2s1,4.33,active
CHEMBL2024684,Cc1cccc(-n2nccc2-c2ccc3ncn(C)c(=O)c3c2)n1,211.0,active
CHEMBL2024685,C=Cn1cnc2ccc(-c3ccnn3-c3cccc(C)n3)cc2c1=O,44.0,active
CHEMBL2024686,Cc1cccc(-n2ncc(C)c2-c2ccc3ncn(C)c(=O)c3c2)n1,135.0,active
CHEMBL2024687,Cc1cccc(-n2nc(C)cc2-c2ccc3ncn(C)c(=O)c3c2)n1,695.0,active
CHEMBL2024688,Cc1cccc(-n2ncc(C)c2-c2ccc3nc[nH]c(=O)c3c2)n1,61.0,active
CHEMBL2024689,CCc1cc(-c2ccc3ncn(C)c(=O)c3c2)n(-c2cccc(C)n2)n1,274.0,active
CHEMBL2024690,Cc1cccc(-n2nccc2-c2ccc3nc[nH]c(=O)c3c2)n1,73.0,active
CHEMBL2024691,CCc1cnn(-c2cccc(C)n2)c1-c1ccc2nc[nH]c(=O)c2c1,47.0,active
CHEMBL2024692,CCn1cnc2ccc(-c3ccnn3-c3cccc(C)n3)cc2c1=O,708.0,active
CHEMBL2024693,Cc1cccc(-n2nc3c(c2-c2ccc4nc[nH]c(=O)c4c2)CCC3)n1,46.0,active
CHEMBL226838,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,76.6,active
CHEMBL492634,Cc1cccc(-c2[nH]c(Cc3cccc(C(N)=O)c3)nc2-c2ccc3nccnc3c2)n1,44.2,active
CHEMBL4514379,N#Cc1cnc2ccc(-c3c(-c4ccc(F)c(Cl)c4)ncn3CCO)nn12,50.0,active
CHEMBL4777871,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccccc3)ccn2)ccn1,28.9,active
CHEMBL4792452,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc(F)cc3)ccn2)ccn1,119.0,active
CHEMBL4790322,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc(C#N)cc3)ccn2)ccn1,162.0,active
CHEMBL4781452,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc(C(N)=O)cc3)ccn2)ccn1,2036.0,intermediate
CHEMBL4794175,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc(C(=O)O)cc3)ccn2)ccn1,10000.0,inactive
CHEMBL4784194,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccc4c(c3)OCO4)ccn2)ccn1,91.9,active
CHEMBL4788673,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3cccc4c3OCCO4)ccn2)ccn1,225.0,active
CHEMBL4784607,Cc1noc(C)c1-c1nn(C2CC2)cc1Oc1ccnc(Nc2ccnc(C(C)(C)O)c2)c1,10000.0,inactive
CHEMBL4781586,Cn1cc(-c2nn(C3CC3)cc2Oc2ccnc(Nc3ccnc(C(C)(C)O)c3)c2)cn1,188.0,active
CHEMBL4777610,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3-c3ccncc3)ccn2)ccn1,326.0,active
CHEMBL4777294,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CCC(F)(F)CC3)ccn2)ccn1,86.5,active
CHEMBL4797447,CC1(O)CCC(c2nn(C3CC3)cc2Oc2ccnc(Nc3ccnc(C(C)(C)O)c3)c2)CC1,136.0,active
CHEMBL4795823,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3C4COCC43)ccn2)ccn1,116.0,active
CHEMBL4783147,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CN(CC(F)(F)F)C3)ccn2)ccn1,6689.0,intermediate
CHEMBL4799736,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CN(C(=O)C4CC4)C3)ccn2)ccn1,748.0,active
CHEMBL4782867,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(O)(C(F)(F)F)C3)ccn2)ccn1,102.0,active
CHEMBL4791815,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(F)(F)C3)ccn2)ccn1,42.5,active
CHEMBL4778362,CC(O)(c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(F)(F)C3)ccn2)ccn1)C(F)(F)F,90.2,active
CHEMBL4788502,OC(c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(F)(F)C3)ccn2)ccn1)C(F)(F)F,28.4,active
CHEMBL4786439,FC1(F)CC(c2nn(C3CC3)cc2Oc2ccnc(Nc3ccnc(N4CCOCC4)c3)c2)C1,45.3,active
CHEMBL4791582,OC1(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)CCOCC1,103.0,active
CHEMBL4797329,OC1(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)CCC(F)(F)CC1,57.1,active
CHEMBL4780548,OC1(C(F)(F)F)CCN(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)CC1,127.0,active
CHEMBL4791955,OC1(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)COC1,134.0,active
CHEMBL4781326,OC1(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn2)CN(CC(F)(F)F)C1,116.0,active
CHEMBL4784622,O=C(C1CC1)N1CC2(C1)CC(O)(c1cc(Nc3cc(Oc4cn(C5CC5)nc4C4CC(F)(F)C4)ccn3)ccn1)C2,283.0,active
CHEMBL4795745,CC1COCC(C)N1Cc1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CC(F)(F)C3)ccn2)ccn1,972.0,active
CHEMBL4594432,CC(C)(O)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CCOCC3)ccn2)ccn1,82.9,active
CHEMBL307152,Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O,20000.0,inactive
CHEMBL363058,CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,20000.0,inactive
CHEMBL362588,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,3100.0,intermediate
CHEMBL186290,Cc1cc2c3c(c1)c(C1=C(c4cnc5ccccn45)C(=O)NC1=O)cn3CCN(C(=O)N1CCCCC1)C2,9500.0,intermediate
CHEMBL178737,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,2000.0,intermediate
CHEMBL362814,CN(C)C(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,20000.0,inactive
CHEMBL362558,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,1200.0,intermediate
CHEMBL261454,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1,400.0,active
CHEMBL204158,c1ccc(-c2nn3c(c2-c2ccc4c(c2)ncn4CCCOC2CCCCO2)CCC3)nc1,20000.0,inactive
CHEMBL202625,Cc1cccc(-c2nn3c(c2-c2ccc4c(c2)ncn4CCCOC2CCCCO2)CCC3)n1,14540.0,inactive
CHEMBL203214,Cn1cnc2cc(-c3c(-c4ccccn4)nn4c3CCC4)ccc21,19630.0,inactive
CHEMBL204139,c1ccc(-c2nn3c(c2-c2ccc4[nH]cnc4c2)CCC3)nc1,8730.0,intermediate
CHEMBL378167,c1ccc(-c2nn3c(c2-c2ccc4ncn(CCCN5CCCC5)c4c2)CCC3)nc1,10840.0,inactive
CHEMBL202730,CN(C)CCCn1cnc2ccc(-c3c(-c4ccccn4)nn4c3CCC4)cc21,20000.0,inactive
CHEMBL377711,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCN5CCCCC5)c4c2)CCC3)n1,20000.0,inactive
CHEMBL206233,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCN5CCCC5)c4c2)CCC3)n1,20000.0,inactive
CHEMBL381532,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCN5CCOCC5)c4c2)CCC3)n1,19750.0,inactive
CHEMBL203791,CCN(CC)CCCn1cnc2ccc(-c3c(-c4cccc(C)n4)nn4c3CCC4)cc21,20000.0,inactive
CHEMBL441176,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCN(C)C)c4c2)CCC3)n1,20000.0,inactive
CHEMBL203619,OCCCn1cnc2ccc(-c3c(-c4ccccn4)nn4c3CCC4)cc21,352.0,active
CHEMBL204063,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCCO)c4c2)CCC3)n1,690.0,active
CHEMBL204170,Cn1cnc2ccc(-c3c(-c4ccccn4)nn4c3CCC4)cc21,395.0,active
CHEMBL204966,Cc1cccc(-c2nn3c(c2-c2ccc4ncn(C)c4c2)CCC3)n1,668.0,active
CHEMBL382838,Cc1cccc(-c2nn3c(c2-c2ccc4[nH]cnc4c2)CCC3)n1,1300.0,intermediate
CHEMBL427211,Cn1ccc2cc(-c3c(-c4ccccn4)nn4c3CCC4)ccc21,20000.0,inactive
